title,brand,category,subcategory,price,volume,alc,country,url
Bench Brewing Lincoln Lager,Bench Brewing,Lager,Pale Lager,3.35,473,4.4,Canada,https://www.lcbo.com/en/bench-brewing-lincoln-lager-16954
O'Hara's Irish Ales Pack,O'Hara's,Gifts and Samplers,Taster Packs,11.95,1500,NULL,Ireland,https://www.lcbo.com/en/o-hara-s-irish-ales-pack-17073
Bench Brewing Jordan Harbour Belgian Pale Ale,Bench Brewing,Ale,Belgian Ale,3.35,473,5.2,Canada,https://www.lcbo.com/en/bench-brewing-jordan-harbour-belgian-pale-ale-13815
Bench Brewing Ball's Falls Session IPA,Bench Brewing,Ale,India Pale Ale (IPA),3.35,473,4.5,Canada,https://www.lcbo.com/en/bench-brewing-ball-s-falls-session-ipa-481515
Cowbell Brewing Co. Smooth Sailing Light Lager,Cowbell Brewing,Lager,Pale Lager,3.35,473,4.0,Canada,https://www.lcbo.com/en/cowbell-brewing-co-smooth-sailing-light-lager-25075
Ace Hill Radler Mix Pack,Ace Hill,Gifts and Samplers,Taster Packs,10.95,1420,2.5,Canada,https://www.lcbo.com/en/ace-hill-radler-mix-pack-19658
Brickworks Ciderhouse Batch : 1904,Brickworks Ciderhouse,Cider,Traditional Cider,3.5,473,4.7,Canada,https://www.lcbo.com/en/brickworks-ciderhouse-batch-1904-394015
Henderson's "Food Truck" Lagered Blonde,Henderson Brewing,Ale,Lagered Ale,3.05,473,4.8,Canada,https://www.lcbo.com/en/henderson-s-food-truck-lagered-blonde-513036
Muskoka Survival Pack,Muskoka Brewery,Gifts and Samplers,Taster Packs,18.95,2838,5.5,Canada,https://www.lcbo.com/en/muskoka-survival-pack-25051
Collective Arts Life in the Clouds,Collective Arts,Ale,India Pale Ale (IPA),3.65,473,6.1,Canada,https://www.lcbo.com/en/collective-arts-life-in-the-clouds-556688
Corona Sunbrew,Corona,Lager,Pale Lager,12.35,1980,0.01,Canada,https://www.lcbo.com/en/corona-sunbrew-24899
Beau's Lug Tread,Beau's,Ale,Lagered Ale,18.95,2838,5.2,Canada,https://www.lcbo.com/en/beau-s-lug-tread-19266
Beau's Holiday Gift Pack,Beau'S,Gifts and Samplers,Gift Packs,12.2,1419,NULL,Canada,https://www.lcbo.com/en/beau-s-holiday-gift-pack-11448
Calabogie Christmas Pack,Calabogie Brewing,Gifts and Samplers,Gift Packs,14.95,2365,NULL,Canada,https://www.lcbo.com/en/calabogie-christmas-pack-21486
Ernest Light Cider 6-Pack,Ernest,Cider,Mixed Pack Cider,21.0,2838,NULL,NULL,https://www.lcbo.com/en/ernest-light-cider-6-pack-25299
Oude Kriek Geuze,3 Fonteinen,Ale,Sour Ale,14.8,375,NULL,Belgium,https://www.lcbo.com/en/oude-kriek-geuze-19431
Whitewater Brewing Sunsetter Beach Lager,Sunsetter,Lager,Pale Lager,3.25,473,4.0,Canada,https://www.lcbo.com/en/whitewater-brewing-sunsetter-beach-lager-26556
Budweiser,Budweiser,Lager,Pale Lager,14.5,2130,5.0,Canada,https://www.lcbo.com/en/budweiser-904334
Collective Arts Hazy State,Collective Arts,Ale,India Pale Ale (IPA),3.45,473,4.1,Canada,https://www.lcbo.com/en/collective-arts-hazy-state-10815
Daura Damm,Damm,Lager,Amber Lager,15.15,1980,5.4,Spain,https://www.lcbo.com/en/daura-damm-378711
Spy Cider House Golden Eye Cider,Spy Cider House,Cider,Traditional Cider,3.95,473,5.0,Canada,https://www.lcbo.com/en/spy-cider-house-golden-eye-cider-11674
Ernest Dry Cider,Ernest,Cider,Traditional Cider,3.65,473,6.3,Canada,https://www.lcbo.com/en/ernest-dry-cider-466292
Bombardier Ale,Bombardier,Ale,Pale Ale,2.85,500,5.5,United Kingdom,https://www.lcbo.com/en/bombardier-ale-283846
Hollandia Lager Beer,Hollandia,Lager,Pale Lager,2.3,500,5.0,Netherlands,https://www.lcbo.com/en/hollandia-lager-beer-260307
No Boats On Sunday Cider Original Multi Pack,No Boats on Sunday,Cider,Mixed Pack Cider,21.95,2838,5.0,Canada,https://www.lcbo.com/en/no-boats-on-sunday-cider-original-multi-pack-25037
Whitewater Brewing Funky Fresh Kiwi Lime Sour,Whitewater Brewing,Ale,Sour Ale,3.65,473,4.6,Canada,https://www.lcbo.com/en/whitewater-brewing-funky-fresh-kiwi-lime-sour-24572
Ace Hill Island Pineapple Lager,Ace Hill,Lager,Pale Lager,2.95,355,NULL,Canada,https://www.lcbo.com/en/ace-hill-island-pineapple-lager-19659
Rocky Point Lime Lager,Something in the Water Brewing,Lager,Pale Lager,3.25,355,5.0,Canada,https://www.lcbo.com/en/rocky-point-lime-lager-24567
Ernest Apple Strudel,Ernest,Cider,Flavoured Cider,3.65,473,5.8,Canada,https://www.lcbo.com/en/ernest-apple-strudel-128009
Smithwick's Ale,Smithwick's,Ale,Dark Ale,2.85,500,5.0,Ireland,https://www.lcbo.com/en/smithwick-s-ale-270439
Somersby Wild Garden Crushed Apple,Somersby,Cider,Flavoured Cider,3.35,473,4.5,Canada,https://www.lcbo.com/en/somersby-wild-garden-crushed-apple-25035
Somersby Mango & Lime Cider,Somersby,Cider,Flavoured Cider,3.35,473,4.5,Canada,https://www.lcbo.com/en/somersby-mango-lime-cider-16136
Sapporo Premium Beer,Sapporo,Lager,Pale Lager,19.5,3000,5.0,Canada,https://www.lcbo.com/en/sapporo-premium-beer-459818
St-Ambroise Apricot Wheat Ale,St. Ambroise,Ale,Flavoured & Spiced Beer,3.05,473,5.0,Canada,https://www.lcbo.com/en/st-ambroise-apricot-wheat-ale-338343
Ace Hill Lemon Cayenne Radler,Ace Hill,Non-Alcoholic & Specialty,Radler & Shandy,2.85,355,2.5,Canada,https://www.lcbo.com/en/ace-hill-lemon-cayenne-radler-19734
Angry Orchard Hard Cider Crisp Apple,Angry Orchard,Cider,Traditional Cider,15.75,2130,5.0,United States,https://www.lcbo.com/en/angry-orchard-hard-cider-crisp-apple-374520
Stella Artois,Stella Artois,Lager,Pale Lager,19.5,2838,5.0,Canada,https://www.lcbo.com/en/stella-artois-17819
Shiny Apple Rosé,Shiny Apple Cider,Cider,Flavoured Cider,3.65,473,6.5,Canada,https://www.lcbo.com/en/shiny-apple-ros-c-515098
Dark Taybeh Beer,Taybeh Brewery,Ale,Dark Ale,4.1,330,6.0,NULL,https://www.lcbo.com/en/dark-taybeh-beer-236959
Feels Like Friday - Hopped Buckwheat Session Mead,Royal Canadian Mead,Non-Alcoholic & Specialty,Mead,3.75,355,5.6,Canada,https://www.lcbo.com/en/feels-like-friday-hopped-buckwheat-session-mead-10295
Coronita Extra,Corona,Lager,Pale Lager,9.95,1242,4.6,Mexico,https://www.lcbo.com/en/coronita-extra-611566
Shiny Apple Cider,Shiny Apple Cider,Cider,Traditional Cider,3.65,473,7.0,Canada,https://www.lcbo.com/en/shiny-apple-cider-407668
Fruli,Fruli,Ale,Flavoured & Spiced Beer,15.65,1320,4.1,Belgium,https://www.lcbo.com/en/fruli-380923
Fat Tire Amber Ale,New Belgium,Ale,Pale Ale,3.4,473,5.2,Canada,https://www.lcbo.com/en/fat-tire-amber-ale-12737
Pilsner Urquell,Pilsner Urquell,Lager,Pale Lager,3.15,500,4.4,Czechia,https://www.lcbo.com/en/pilsner-urquell-255380
Cowbell Brewing Co. Summer Collection,Cowbell Brewing,Gifts and Samplers,Taster Packs,19.95,2838,5.5,Canada,https://www.lcbo.com/en/cowbell-brewing-co-summer-collection-25818
Cowbell Brewing Co. Absent Landlord,Cowbell Brewing,Ale,Lagered Ale,3.35,473,5.3,Canada,https://www.lcbo.com/en/cowbell-brewing-co-absent-landlord-469981
Carlsberg,Carlsberg,Lager,Pale Lager,2.8,500,5.0,Denmark,https://www.lcbo.com/en/carlsberg-73809
Omnipollo Zodiak IPA,Omnipollo,Ale,India Pale Ale (IPA),3.95,473,6.2,Canada,https://www.lcbo.com/en/omnipollo-zodiak-ipa-518795
Rogue Dead Guy Ale,Rogue,Ale,Pale Ale,3.45,473,6.8,United States,https://www.lcbo.com/en/rogue-dead-guy-ale-122853
Somersby Mixer Pack,Somersby,Cider,Mixed Pack Cider,19.85,2838,4.5,Canada,https://www.lcbo.com/en/somersby-mixer-pack-25086
Growers Cider Stone Fruit,Growers,Cider,Flavoured Cider,3.45,473,5.0,Canada,https://www.lcbo.com/en/growers-cider-stone-fruit-568436
Modelo Especial,Modelo,Lager,Pale Lager,16.95,2130,4.5,Mexico,https://www.lcbo.com/en/modelo-especial-418590
Paulaner Hefe-Weissbier,Paulaner,Ale,Wheat Ale,3.25,500,5.5,Germany,https://www.lcbo.com/en/paulaner-hefe-weissbier-337881
No Boats on Sunday Cider,No Boats On Sunday,Cider,Traditional Cider,4.95,500,5.0,Canada,https://www.lcbo.com/en/no-boats-on-sunday-cider-568287
Kilkenny Irish Ale,Kilkenny,Ale,Dark Ale,11.65,2000,4.3,Ireland,https://www.lcbo.com/en/kilkenny-irish-ale-442731
KONA BIG WAVE GOLDEN ALE,Kona Brewing,Ale,Pale Ale,16.9,2130,4.3,United States,https://www.lcbo.com/en/kona-big-wave-golden-ale-497339
Lonetree Authentic Dry Cider,Lonetree,Cider,Traditional Cider,2.95,473,5.6,Canada,https://www.lcbo.com/en/lonetree-authentic-dry-cider-127787
Amsterdam Hazii Imperial IPA,Amsterdam,Ale,India Pale Ale (IPA),3.95,473,9.5,Canada,https://www.lcbo.com/en/amsterdam-hazii-imperial-ipa-20427
Westmalle Tripel,Westmalle,Ale,Belgian Ale,4.35,330,9.5,Belgium,https://www.lcbo.com/en/westmalle-tripel-676577
